LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID157242,157242,0,2764.720703125,904.5344725686451,487.4838813446275,0.0,10.305699706077576,25,7.5,1,,388.85714285714283,62.0,32.0,3992.0,8166.0,887.888184723408,421.8095238095238,0.0,0.0,4095.0,8858.0,1006.8067649279885,2320.5714285714284,2449.0,850.0,2529.0,48732.0,366.8465035172847,0.8081873287386864,0.39149878198393673,0.947401687323092,0.407641943780564,-0.027632908077369192,-0.35953145492265254
ID158521,158521,0,2641.284423828125,904.6315541022001,487.411374482508,0.0,12.779067635536194,31,7.5,1,,313.4761904761905,46.0,31.0,3372.0,6583.0,744.2017615571478,382.04761904761904,1.0,0.0,4095.0,8023.0,932.0405826030578,2321.0,2443.0,801.0,2527.0,48741.0,376.8783623398934,0.791231590762219,0.37213090655820724,0.9528996531369804,0.4000183471540074,-0.027031073382889063,-0.3421907400403566
ID159614,159614,0,2568.7333984375,904.678318165482,487.1584104709976,0.0,16.076891541481018,39,7.5,1,,324.4761904761905,68.0,28.0,3579.0,6814.0,782.523777213678,367.1904761904762,0.0,0.0,4095.0,7711.0,942.5022344295859,2317.6190476190477,2443.0,806.0,2537.0,48670.0,374.6069241472287,0.7606666451342012,0.3582882153656135,0.9949550481857576,0.3886058742169148,-0.027242020266624038,-0.34652195526024465
ID154687,154687,0,2876.498291015625,904.9183531783109,487.47731893022325,0.0,5.771191835403442,14,7.5,1,,323.0952380952381,45.0,29.0,3384.0,6785.0,754.282434155927,469.7142857142857,0.0,0.0,4095.0,9864.0,1056.011796470908,2323.1428571428573,2457.0,809.0,2538.0,48786.0,375.2671429414364,0.7905918057663126,0.3782529075183845,0.9363957597173144,0.4301899995851319,-0.02637329741056724,-0.33538012912786164
ID152188,152188,0,2749.280029296875,904.9968790971113,487.5367561697614,0.0,0.824455976486206,2,7.5,1,,340.76190476190476,49.0,28.0,3625.0,7156.0,805.6491733230976,410.8095238095238,0.0,0.0,4095.0,8627.0,957.4355131834008,2321.095238095238,2449.0,821.0,2524.0,48743.0,370.21087298483076,0.8113016515851421,0.3789017786771594,0.9693536881152802,0.42239572388746244,-0.026223326549213964,-0.33767756131524235
ID156802,156802,1,1965.6920166015625,325.86080508476005,706.0865441927957,0.0,8.24455976486206,20,7.5,1,,97.66666666666667,43.0,31.0,525.0,2051.0,142.73028176716156,308.3809523809524,0.0,0.0,2947.0,6476.0,846.0040470464947,1877.4285714285713,2444.0,670.0,2521.0,39426.0,823.3780766712562,0.4050351087514986,0.39451700867081974,0.9540602723192396,0.3559450494737442,-0.08521708866266428,-0.42481786216585254
ID156800,156800,1,1685.6732177734375,326.4364200468445,706.2947962988757,0.0,7.0078758001327515,17,7.5,1,,75.71428571428571,34.0,29.0,405.0,1590.0,104.97863728261234,280.0,0.0,0.0,2426.0,5880.0,687.5599610215825,1873.2380952380952,2428.0,674.0,2524.0,39338.0,818.5541463313166,0.37305699481865284,0.3919164718446164,0.9693544335594073,0.40090010001935633,-0.08676360913863203,-0.4348404779155642
ID157760,157760,1,1910.4346923828125,326.10928564300923,706.3922730903817,0.0,9.893471717834473,24,7.5,1,,99.33333333333333,35.0,30.0,549.0,2086.0,144.19269514553548,307.9047619047619,0.0,0.0,2763.0,6466.0,785.8447623266254,1874.3809523809523,2434.0,652.0,2526.0,39362.0,835.7228892516033,0.4376292212267402,0.4194123038975803,0.9960640555662745,0.3910411238700795,-0.08554568844851518,-0.41962530965799244
ID153350,153350,1,2104.046630859375,325.15577454049236,706.1400282813785,0.0,2.885595917701721,7,7.5,1,,73.19047619047619,34.0,28.0,443.0,1537.0,102.25928762103666,321.42857142857144,0.0,0.0,3466.0,6750.0,887.8580726348424,1884.857142857143,2429.0,671.0,2516.0,39582.0,814.9264559280356,0.28834870075440067,0.32038072554658614,0.8955349620893007,0.3420752652650567,-0.07979599843075715,-0.40113172761165616
ID154310,154310,1,1683.4459228515625,327.00759996383545,706.3540513384058,0.0,4.946735858917236,12,7.5,1,,76.52380952380952,42.0,29.0,335.0,1607.0,80.57085021744467,239.42857142857142,0.0,0.0,2667.0,5028.0,644.2119660040918,1884.7142857142858,2448.0,663.0,2514.0,39579.0,813.5232106619419,0.3280991735537189,0.46927050797507325,0.9887273805992287,0.3695544962446668,-0.0842804837842059,-0.4264519645927313
ID160519,160519,1,1935.1358642578125,327.16013924880144,706.2246378441862,0.0,14.427979588508606,35,7.5,1,,82.66666666666667,34.0,28.0,536.0,1736.0,131.56417952213792,275.6190476190476,0.0,0.0,3020.0,5788.0,731.2974412775199,1893.0,2445.0,670.0,2516.0,39753.0,804.2626436680993,0.3961998592540465,0.35660669064387807,0.9631152753635476,0.36980913774023005,-0.08338809532044412,-0.4282538473472968
ID157124,157124,1,1851.296875,325.843385705415,706.0071753461311,0.0,9.069015741348267,22,7.5,1,,87.85714285714286,34.0,29.0,536.0,1845.0,126.31875779720353,274.1904761904762,0.0,0.0,2731.0,5758.0,815.1100918923541,1878.857142857143,2437.0,680.0,2532.0,39456.0,816.8148067777839,0.34683821516561736,0.35822074875566706,0.968715274809813,0.33103912712807926,-0.08515781236414229,-0.42823135842207416
ID153861,153861,1,1917.9481201171875,325.52345300246105,706.1213241021815,0.0,3.7100518941879272,9,7.5,1,,99.76190476190476,46.0,28.0,575.0,2095.0,141.3930354585772,285.57142857142856,0.0,0.0,2976.0,5997.0,833.9806095724632,1884.6190476190477,2438.0,685.0,2515.0,39577.0,814.0202378436593,0.3558773562009546,0.3703792584210398,0.9251233899121225,0.32910151934466286,-0.07972236109334854,-0.40112492828037255
ID156235,156235,1,1911.6551513671875,326.71158240738504,706.2490632549694,0.0,7.4201037883758545,18,7.5,1,,91.23809523809524,35.0,32.0,667.0,1916.0,161.68917859952927,299.3809523809524,0.0,0.0,2731.0,6287.0,748.9830756559508,1885.952380952381,2441.0,674.0,2528.0,39605.0,817.5579781391946,0.4410078029519601,0.34538636771453474,0.971078104792883,0.39385148319906704,-0.0843912461746083,-0.4252356055481746
ID152078,152078,1,2032.18017578125,327.24160479053575,706.6465094888274,0.0,1.236683964729309,3,7.5,1,,82.47619047619048,34.0,27.0,515.0,1732.0,119.60669673877757,300.04761904761904,0.0,0.0,3153.0,6301.0,750.6655364535177,1886.142857142857,2443.0,673.0,2521.0,39609.0,812.0550649872388,0.3986070455233673,0.39305411857146527,1.0,0.3997087976959475,-0.08372948402095835,-0.4244961956116888
ID154511,154511,1,1924.025634765625,325.6413938749186,706.3789783087286,0.0,3.297823905944824,8,7.5,1,,75.0952380952381,34.0,30.0,407.0,1577.0,110.53547157447005,311.6666666666667,0.0,0.0,3019.0,6545.0,829.6861655670374,1892.904761904762,2442.0,685.0,2514.0,39751.0,806.6576042387443,0.3419848952239124,0.346258164719763,0.9328878880726496,0.36260124680954475,-0.0795370013922376,-0.40553879447981034
